"UNIT","ID","SUFFIX","LEVEL","SUBLEVEL","CODE","EXCAVATOR","PRISM","NOTES","X","Y","Z","DATE","LOCALX","LOCALY","LOCALZ"
"","NBQUN",0,"","","CAILLOUX","",0,"",,,,"2019-08-03 10:15:12",,,
"","1",0,"","","SILEX","",0,"",1001.679,1009.158,-6.825,"2019-08-03 10:15:38",,,
"","EEKTE",0,"","","CAILLOUX","",0,"",1001.679,1009.158,-6.825,"2019-08-03 10:15:43",,,
"","RIFRO",0,"","","CAILLOUX","",0,"",1001.679,1009.158,-6.825,"2019-08-03 10:15:49",,,
"","VMRET",0,"","","CAILLOUX","",0,"",1001.679,1009.158,-6.825,"2019-08-03 10:15:56",,,
"","1",0,"","","VIAL","",0,"",1001.679,1009.158,-6.825,"2019-08-03 10:16:01",,,
"","1",0,"","","VIAL","",0,"",1001.679,1009.158,,"2019-08-03 10:16:05",,,
"test","LTWQP",0,"8","","CAILLOUX","CREW",0,"",1001.679,1009.158,-6.825,"2019-08-03 10:16:26",,,
"","HIVOK",0,"","","CAILLOUX","",0,"",,,,"2019-08-03 10:24:44",,,
"","UEEEU",0,"","","CAILLOUX","",0,"",,,,"2019-08-03 10:24:51",,,
"","VURCY",0,"","","CAILLOUX","",0,"",,,,"2019-08-03 10:26:43",,,
"","ZFFGM",0,"","","CAILLOUX","",0,"",,,,"2019-08-03 10:31:35",,,
"","SQYMG",0,"","","CAILLOUX","",0,"",,,,"2019-08-03 10:32:44",,,
"","1",0,"","","OS","",0,"",,,,"2019-08-03 10:36:45",,,
"block1","VJACS",0,"","","CAILLOUX","",0,"",1001.618,1008.911,-7.144,"2019-08-03 10:49:23",,,
"","QHZRL",0,"","","CAILLOUX","",0,"",1001.619,1008.912,-7.143,"2019-08-03 10:49:45",,,
"","",1,"","","","",0,"",1001.619,1008.912,-7.143,"2019-08-03 10:50:06",,,
"test","1",0,"","","SILEX","",0,"",1001.62,1008.913,-7.141,"2019-08-03 10:50:26",,,
"test","1",0,"","","SILEX","",0,"",1001.62,1008.914,-7.14,"2019-08-03 10:50:42",,,
"test","1",0,"","","SILEX","",0,"",1001.62,1008.914,-7.14,"2019-08-03 10:57:03",,,
"test","10",0,"","","SILEX","",0,"",1001.617,1008.91,-7.145,"2019-08-03 11:18:54",,,
"TEST","11",0,"","","SILEX","",0,"",1001.62,1008.914,-7.14,"2019-08-03 11:19:27",,,
"test","1",0,"","","SILEX","",0,"",1001.621,1008.915,-7.139,"2019-08-03 11:23:59",,,
"test","1",0,"","","SILEX","",0,"",1001.62,1008.913,-7.141,"2019-08-03 11:24:45",,,
"test","1",0,"","","SILEX","",0,"",1001.62,1008.913,-7.141,"2019-08-03 11:25:41",,,
"test","10",0,"","","SILEX","",0,"",1001.619,1008.912,-7.143,"2019-08-03 11:25:54",,,
"TEST","5",0,"","","SILEX","",0,"",1001.619,1008.912,-7.143,"2019-08-03 11:26:28",,,
"BLOCK2","10",0,"","","SILEX","",0,"",1001.62,1008.913,-7.141,"2019-08-03 11:41:00",,,
"BLOCK1","1",0,"","","SILEX","",0,"",1001.62,1008.914,-7.14,"2019-08-03 11:41:15",,,
"","1",0,"","","SILEX","",0,"",1001.622,1008.915,-7.138,"2019-08-03 11:41:52",,,
"","1",0,"","","SILEX","",0,"",1001.619,1008.912,-7.144,"2019-08-03 11:51:27",,,
"BLOCK2","11",0,"","","SILEX","",0,"",1001.621,1008.912,-7.142,"2019-08-03 12:21:09",,,
"BLOCK2","11",0,"8","","SILEX","CREW",0,"",1001.62,1008.911,-7.143,"2019-08-03 12:21:22",,,
"BLOCK2","11",0,"8","","SILEX","CREW",0,"",1001.62,1008.911,-7.143,"2019-08-03 12:21:42",,,
"BLOCK2","11",0,"8","","SILEX","CREW",0,"",1001.621,1008.912,-7.142,"2019-08-03 13:10:25",,,
"BLOCK2","11",0,"8","","SILEX","CREW",0,"",1001.621,1008.913,-7.14,"2019-08-03 13:10:34",,,
"BLOCK2","11",0,"","","SILEX","",0,"",1001.621,1008.913,-7.14,"2019-08-03 13:11:06",,,
"BLOCK2","12",0,"8","","SILEX","CREW",0,"",1001.621,1008.912,-7.142,"2019-08-03 13:13:03",,,
"BLOCK2","13",0,"8","","SILEX","CREW",0,"",1001.621,1008.913,-7.14,"2019-08-03 13:13:11",,,
"","",1,"","","","",0,"",1001.622,1008.914,-7.139,"2019-08-03 13:13:19",,,
"BLOCK2","14",0,"8","test","SILEX","CREW",0,"test",1001.621,1008.912,-7.142,"2019-08-03 13:36:25",,,
"BLOCK2","14",1,"8","test","SILEX","CREW",0,"test",1001.622,1008.914,-7.139,"2019-08-03 13:36:44",,,
"BLOCK2","14",2,"8","test","SILEX","CREW",0,"test",1001.623,1008.914,-7.138,"2019-08-03 13:36:55",,,
"BLOCK2","14",3,"8","shannon","SILEX","CREW",0,"test",1001.622,1008.914,-7.139,"2019-08-03 13:37:25",,,
"","1",0,"","","SILEX","",0,"",1001.621,1008.913,-7.14,"2019-08-03 13:41:20",,,
"","1",0,"","","SILEX","",0,"",1001.621,1008.913,-7.14,"2019-08-03 13:44:59",,,
"BLOCK2","15",2,"8","","SILEX","CREW",0,"",1001.621,1008.913,-7.14,"2019-08-03 13:46:03",,,
"BLOCK2","16",2,"8","","SILEX","CREW",0,"",1001.62,1008.911,-7.143,"2019-08-03 13:46:20",,,
"BLOCK2","17",2,"8","","SILEX","CREW",0,"",1001.621,1008.913,-7.14,"2019-08-03 13:47:29",,,
"BLOCK2","17",3,"8","","SILEX","CREW",0,"",1001.621,1008.913,-7.14,"2019-08-03 14:04:57",,,
"BLOCK2","17",4,"8","","SILEX","CREW",0,"",1001.623,1008.914,-7.138,"2019-08-03 14:05:04",,,
"BLOCK2","18",0,"8","","SILEX","CREW",0,"",1001.621,1008.912,-7.142,"2019-08-03 14:05:09",,,
"BLOCK2","19",0,"8","","SILEX","CREW",0,"",1001.62,1008.911,-7.143,"2019-08-03 14:05:17",,,
"BLOCK2","20",0,"8","","OS","CREW",0,"",1001.624,1008.915,-7.137,"2019-08-03 14:30:44",,,
"BLOCK2","20",0,"8","","SILEX","CREW",0,"",1001.621,1008.913,-7.14,"2019-08-03 14:35:05",,,
"BLOCK2","21",0,"8","","SILEX","CREW",0,"",1001.624,1008.915,-7.137,"2019-08-03 14:35:19",,,
"BLOCK2","21",0,"8","","SILEX","CREW",0,"",1001.623,1008.914,-7.138,"2019-08-03 14:36:06",,,
"BLOCK2","21",0,"8","shannon","SILEX","CREW",0,"",1001.624,1008.915,-7.137,"2019-08-03 14:39:49",,,
"BLOCK2","FRXQF",0,"8","","CAILLOUX","CREW",0,"",1001.622,1008.914,-7.139,"2019-08-03 14:44:42",,,
"BLOCK2","FRXQF",1,"8","","CAILLOUX","CREW",0,"",1001.623,1008.914,-7.138,"2019-08-03 14:44:49",,,
"BLOCK2","QMHRT",0,"8","","CAILLOUX","CREW",0,"",1001.622,1008.914,-7.139,"2019-08-03 15:09:31",,,
"BLOCK2","23",0,"8","","SILEX","CREW",0,"",1001.621,1008.912,-7.142,"2019-08-03 15:10:36",,,
"BLOCK2","23",1,"8","","SILEX","CREW",0,"",1001.621,1008.913,-7.14,"2019-08-03 15:10:49",,,
"BLOCK2","KZBCB",0,"8","","CAILLOUX","CREW",0,"",1001.622,1008.914,-7.139,"2019-08-03 15:10:53",,,
"BLOCK2","30",0,"8","","SILEX","CREW",0,"",1001.62,1008.911,-7.143,"2019-08-03 15:12:27",,,
"BLOCK2","30",0,"8","","SILEX","CREW",0,"",1001.625,1008.916,-7.136,"2019-08-03 15:13:36",,,
"BLOCK2","31",0,"8","","SILEX","CREW",0,"",1001.625,1008.916,-7.136,"2019-08-03 15:13:46",,,
"BLOCK2","XLUWJ",0,"8","","CAILLOUX","CREW",0,"",1001.623,1008.914,-7.138,"2019-08-03 15:13:52",,,
"BLOCK2","32",0,"8","","SILEX","CREW",0,"",1001.621,1008.913,-7.14,"2019-08-03 15:13:58",,,
"BLOCK2","33",0,"8","","SILEX","CREW",0,"",1001.827,1008.985,-7.111,"2019-08-03 15:33:18",0.074,0.012,0.212
"BLOCK2","34",0,"8","","SILEX","CREW",0,"",0.001,0.001,0.001,"2019-08-07 17:14:17",0.001,0.001,0.001
